"column_a","column_b","count"
"APC by Schneider Electric","apc.com",2
"Schneider","schneider.com",89
"Schneider Downs & Co., Inc.","schneiderdowns.com",1
"Schneider Downs & Co. Inc","schneiderdowns.com",26
"Schneider Electric","se.com",25
"SCHNEIDER ELECTRIC","schneider-electric.com",3
"schneider electric","schneider-electric.com",1
"Schneider Electric Asia Pacific Limited","schneider-electric.com",1
"Schneider Electric Australia","schneider-electric.com",14
"Schneider Electric - Cloud Computing","schneider-electric.com",1
"Schneider Electric DMS NS","schneider-electric-dms.com",2
"Schneider Electric Energy & Sustainability Services","",1
"Schneider Electric Inc - Australia","au.schneider-electric.com",1
"Schneider Electric Inc - France","",1
"Schneider Electric Inc - India","",1
"Schneider Electric Inc - Turkey","tr.schneider-electric.com",1
"Schneider Electric Inc - USA","us.schneider-electric.com",1
"Schneider Electric India","in.schneider-electric.com",10
"SCHNEIDER ELECTRIC INDUSTRIES","capgemini.com",1
"Schneider Electric Ireland","ie.schneider-electric.com",3
"Schneider Electric Italia","schneider-electric.com",3
"Schneider Electric Ltd","invensys.com",1
"Schneider Electric Ltd UK","invensys.com",3
"Schneider Electric North America","schneider-electric.com",13
"Schneider Electric SA","schneider-electric.com",29
"Schneider Electric Software","invensys.com",1
"Schneider Electric USA, Inc. - Peru","squared.com",1
"Schneider Logistics, Inc.","schneider.com",1
"Schneider Mills","schneidermills.com",1
"Schneider National","schneider.com",27
"Schneider National Inc.","schneider.com",3
"Schneider National Incorporated","schneider.com",1
"Schneider Optical Machines Inc","schneider-om.com",1
"Schneider Trading Associates Limited","schneidertrading.com",1
"SNP Schneider-Neureither &amp; Partner AG","snp-ag.com",6
"SNP Schneider-Neureither & Partner SE","snpgroup.com",1
